Composer,Genre
 Johannes Brahms,Classical
(arr.) Britten,Classical
(Franz) Joseph Haydn,Classical
A Panufnik,Classical
A. Arensky,Classical
A. Pärt,Classical
Aaron Copland,Classical
Aaron Copland (1900-1990),Classical
ABBA,Pop
Alan Rawsthorne,Classical
Alban Berg,Classical
Alban Berg (1885-1935),Classical
Albeniz,Classical
Albéniz,Classical
Albéniz  Orch. Enescu,Classical
Alberto Ginastera,Classical
Aleksandr Skryabin,Classical
Aleksandr Skryabin (1872-1915),Classical
Alessandro Scarlatti,Classical
Alessandro Scarlatti (1660-1725),Classical
Alexander Glazunov,Classical
Alexander Glazunov (1865-1936),Classical
Alexander Goehr,Classical
Alexander Goehr (b.1923),Classical
Alexander Scriabin,Classical
Alfred Schnittke,Classical
André Previn,Classical
Andrew Lloyd Webber,Musicals
Andrew Lloyd Webber & Tim Rice,Musicals
Andrew Lloyd Webber& Tim Rice,Musicals
Anton Arensky,Classical
Anton Bruckner,Classical
Anton Rubinstein,Classical
Anton Weber,Classical
Anton Webern,Classical
Anton Webern (1883-1945),Classical
Antonin Dvorak,Classical
Antonín Dvorák,Classical
Antonín Dvo?ák,Classical
Antonín Dvo?ák (1841-1904),Classical
Antonín Leopold Dvo?ák,Classical
Antonino Pasculli (1842-1924),Classical
"Antonio Salieri, Stephen Storace And Guiseppi Sarti",Classical
Antonio Vivaldi,Classical
Antonio Vivaldi (1678-1741),Classical
Arensky,Classical
Arensky Tchaikovsky,Classical
Arne Arr. Sargent,Classical
Arne arr. Sargent ,Classical
Arnold Bax,Classical
Arnold Schoenberg,Classical
Arr. Glen Miller,Jazz
Arr. James Mawson,Jazz
Arr. Ledger,Jazz
Arr. Rutter,Jazz
Arr. Sir Henry Wood,Jazz
Arr. Stephen Darlington,Jazz
Arr. Stravinsky,Jazz
Arr. Willcocks,Jazz
Arr. Williamson,Jazz
Arr. Wood,Jazz
Arranged By Glenn Miller,Jazz
Arriaga,Jazz
Arrigo Boito,Jazz
Arthur Crudup,Jazz
Arthur Freed,Jazz
Arvo Part,Classical
Arvo Pärt,Classical
"Arvo Pärt, Vivaldi, Beethoven And Richard Tognetti",Classical
Arvo Pärt (b.1935),Classical
B. Bartók,Classical
B. Britten (1913-1976,Classical
Bach,Classical
Bach - Busoni,Classical
Bach (arr. Brahms),Classical
Bach (arr. Stokowski),Classical
Bach (orch Elgar),Classical
Bach Arr Richard Tognetti,Classical
Bach Arr. Brahms,Classical
Bach Arr. Busoni,Classical
Bach Arr. Cimirro,Classical
Bach Arr. Frackenpohl,Classical
Bach Arr. Kulikova,Classical
Bach Arr. McCarthy,Classical
Bach Arr. Meinders,Classical
Bach Arr. Reger,Classical
Bach Arr. Scott,Classical
Bach Arr. Siloti,Classical
Bach Arr. Wittgenstein,Classical
Bach J S Brandenburg,Classical
Bach Orch. Schoenberg,Classical
Bach-Busoni,Classical
Bach-Kempff,Classical
Bach-Siloti,Classical
"Bach, Handel, Telemann,",Classical
Bach/Benjamin,Classical
Bach/Kempff,Classical
Bach/Mozart,Classical
Balakirev Arr Casella,Classical
Barry Gibb,Classical
"Barry Gibb, Robin Gibb & Maurice Gibb",Classical
"Barry, Robin & Maurice Gibb",Pop
"Barry, Robin & Maurice Gibb & Albhy Galuten",Pop
"Barry, Robin & Maurine Gibb",Pop
"Barry, Robin & Maurine Gibb, Albhy Galuten &Karl Richardson",Pop
Bartok,Classical
Bartók,Classical
Beach Boys,Pop
Beatles,Pop
Bed?ich Smetana,Classical
Bed?ich Smetana (1824-1884),Classical
Bee Gee's,Pop
Bee Gees,Pop
Beethoven,Classical
Beethoven (trans Liszt),Classical
"Beethoven, Arr. Hummel",Classical
Bela Bartok,Classical
Béla Bartok,Classical
Béla Bartók,Classical
Béla Bartók (1881-1945),Classical
Benny And Bjorn,Pop
"Benny Andersson, Björn Ulvaeus, And Tim Rice",Pop
Benny Goodman,Jazz
Berg,Classical
Berlioz,Classical
Birtwistle,Classical
Bizet,Classical
Bizet Arr. Cann,Classical
"Bizet, Arr. Cann",Classical
Bizet/ Horowitz,Classical
BLISS,Classical
Bloch,Classical
Bob Dylan,Pop
Boccherini,Classical
Bohuslav Martinu,Classical
Bohuslav Martin?,Classical
Bohuslav Martin? (1890-1959),Classical
Borodin,Classical
Brahms,Classical
Brahms (orch. Schoenberg),Classical
Brahms Arr. Schoenberg,Classical
BRIDGE,Classical
Britten,Classical
Brubeck,Jazz
Bruch,Classical
Bruckner,Classical
Bruckner Arr. Robertson,Classical
Buddy Holly,Pop
Buddy Holly & The Crickets,Pop
Buddy Holly/Jerry Allison,Pop
Burns Arr. Arvo Pärt,Classical
Burt Bacharach,Jazz
Burt Bacharach & Hal David,Jazz
Busoni,Classical
Butterworth,Classical
Buxtehude,Classical
Byrd,Classical
C Schumann,Classical
C. P. E. Bach,Classical
C.P.E. Bach,Classical
Camille Saint-Saëns,Classical
Camille Saint-Saëns Arr. Makoto Ozone,Classical
Camille Saint-Saëns (1835-1921),Classical
Camille Saint?Saëns,Classical
Carl Maria Von Weber,Classical
Carl Maria Von Weber Attrib. Joseph Kuffner,Classical
Carl Maria Von Weber (1786-1826),Classical
Carl Philipp Emanuel Bach (1714-1788),Classical
Carole King,Pop
César Franck,Classical
César Franck (1822-1890),Classical
Cesar Frank,Classical
Chabrier,Classical
Charles Edward Ives,Classical
Charles Edward Ives (1874-1954),Classical
Charles Gounod,Classical
Charles Gounod (arr Robertson),Classical
Charles Ives,Classical
Chausson,Classical
Cherubini,Classical
Chopin,Classical
Chopin ,Classical
Chopin Arr. Kulikova,Classical
Chopin Arr. Liszt,Classical
Chopin Arr. Scott,Classical
Christoph Willibald Gluck,Classical
Christoph Willibald Gluck (1714-1787),Classical
Clara Schumann,Classical
Clara Schumann (1819-1896),Classical
Claude Debussy,Classical
Claude Debussy (1862-1918),Classical
Claude Debussy (arr Borwick/Copeland),Classical
Claude Debussy (arr Colin Matthews),Classical
Claude Debussy (arr David Horne),Classical
Claude Debussy (arr Illiam Quane),Classical
Claude Debussy (arr John Adams),Classical
